time;knee_angle_l;% Gait Cycle
1.78;-3.43954329;43.51020408
1.781;-3.45015303;43.59183673
1.782;-3.46217458;43.67346939
1.783;-3.47561174;43.75510204
1.784;-3.49046731;43.83673469
1.785;-3.50674384;43.91836735
1.786;-3.52444359;44
1.787;-3.54356823;44.08163265
1.788;-3.5641185;44.16326531
1.789;-3.58609419;44.24489796
1.79;-3.60949492;44.32653061
1.791;-3.63432008;44.40816327
1.792;-3.66056854;44.48979592
1.793;-3.68823834;44.57142857
1.794;-3.71732661;44.65306122
1.795;-3.74783038;44.73469388
1.796;-3.77974655;44.81632653
1.797;-3.81307156;44.89795918
1.798;-3.84780107;44.97959184
1.799;-3.88392994;45.06122449
1.8;-3.92145299;45.14285714
1.801;-3.96036498;45.2244898
1.802;-4.00066026;45.30612245
1.803;-4.04233252;45.3877551
1.804;-4.08537475;45.46938776
1.805;-4.12977999;45.55102041
1.806;-4.1755413;45.63265306
1.807;-4.22265151;45.71428571
1.808;-4.27110287;45.79591837
1.809;-4.32088709;45.87755102
1.81;-4.37199605;45.95918367
1.811;-4.42442177;46.04081633
1.812;-4.47815613;46.12244898
1.813;-4.53319061;46.20408163
1.814;-4.58951626;46.28571429
1.815;-4.64712443;46.36734694
1.816;-4.7060067;46.44897959
1.817;-4.76615469;46.53061224
1.818;-4.8275597;46.6122449
1.819;-4.89021277;46.69387755
1.82;-4.95410532;46.7755102
1.821;-5.01922915;46.85714286
1.822;-5.08557622;46.93877551
1.823;-5.1531383;47.02040816
1.824;-5.22190699;47.10204082
1.825;-5.29187442;47.18367347
1.826;-5.36303321;47.26530612
1.827;-5.43537629;47.34693878
1.828;-5.50889644;47.42857143
1.829;-5.58358635;47.51020408
1.83;-5.65943969;47.59183673
1.831;-5.73645087;47.67346939
1.832;-5.81461436;47.75510204
1.833;-5.89392461;47.83673469
1.834;-5.97437623;47.91836735
1.835;-6.05596456;48
1.836;-6.1386857;48.08163265
1.837;-6.22253621;48.16326531
1.838;-6.30751279;48.24489796
1.839;-6.39361223;48.32653061
1.84;-6.48083217;48.40816327
1.841;-6.56917111;48.48979592
1.842;-6.65862807;48.57142857
1.843;-6.74920227;48.65306122
1.844;-6.84089302;48.73469388
1.845;-6.93370059;48.81632653
1.846;-7.02762619;48.89795918
1.847;-7.1226717;48.97959184
1.848;-7.21883915;49.06122449
1.849;-7.31613069;49.14285714
1.85;-7.41454954;49.2244898
1.851;-7.51410004;49.30612245
1.852;-7.61478723;49.3877551
1.853;-7.71661633;49.46938776
1.854;-7.81959261;49.55102041
1.855;-7.92372253;49.63265306
1.856;-8.02901376;49.71428571
1.857;-8.13547469;49.79591837
1.858;-8.24311378;49.87755102
1.859;-8.35193951;49.95918367
1.86;-8.46196162;50.04081633
1.861;-8.57319114;50.12244898
1.862;-8.68563984;50.20408163
1.863;-8.79931953;50.28571429
1.864;-8.91424195;50.36734694
1.865;-9.03042024;50.44897959
1.866;-9.14786889;50.53061224
1.867;-9.26660315;50.6122449
1.868;-9.38663828;50.69387755
1.869;-9.50798947;50.7755102
1.87;-9.63067334;50.85714286
1.871;-9.75470792;50.93877551
1.872;-9.88011192;51.02040816
1.873;-10.006904;51.10204082
1.874;-10.13510269;51.18367347
1.875;-10.26472787;51.26530612
1.876;-10.39580079;51.34693878
1.877;-10.52834332;51.42857143
1.878;-10.66237717;51.51020408
1.879;-10.79792383;51.59183673
1.88;-10.93500612;51.67346939
1.881;-11.0736481;51.75510204
1.882;-11.21387439;51.83673469
1.883;-11.35570936;51.91836735
1.884;-11.499177;52
1.885;-11.64430254;52.08163265
1.886;-11.79111238;52.16326531
1.887;-11.93963337;52.24489796
1.888;-12.08989188;52.32653061
1.889;-12.24191371;52.40816327
1.89;-12.3957257;52.48979592
1.891;-12.55135579;52.57142857
1.892;-12.70883216;52.65306122
1.893;-12.86818228;52.73469388
1.894;-13.02943266;52.81632653
1.895;-13.1926108;52.89795918
1.896;-13.35774518;52.97959184
1.897;-13.52486436;53.06122449
1.898;-13.69399585;53.14285714
1.899;-13.86516586;53.2244898
1.9;-14.03840153;53.30612245
1.901;-14.2137309;53.3877551
1.902;-14.39118196;53.46938776
1.903;-14.57078125;53.55102041
1.904;-14.7525537;53.63265306
1.905;-14.9365251;53.71428571
1.906;-15.12272213;53.79591837
1.907;-15.31117118;53.87755102
1.908;-15.50189689;53.95918367
1.909;-15.6949219;54.04081633
1.91;-15.8902697;54.12244898
1.911;-16.08796464;54.20408163
1.912;-16.28803053;54.28571429
1.913;-16.49048917;54.36734694
1.914;-16.69536007;54.44897959
1.915;-16.90266357;54.53061224
1.916;-17.11242079;54.6122449
1.917;-17.32465215;54.69387755
1.918;-17.53937581;54.7755102
1.919;-17.75660742;54.85714286
1.92;-17.9763634;54.93877551
1.921;-18.19866086;55.02040816
1.922;-18.42351601;55.10204082
1.923;-18.65094268;55.18367347
1.924;-18.88095205;55.26530612
1.925;-19.11355595;55.34693878
1.926;-19.34876678;55.42857143
1.927;-19.58659591;55.51020408
1.928;-19.82705217;55.59183673
1.929;-20.07014163;55.67346939
1.93;-20.31587091;55.75510204
1.931;-20.56424706;55.83673469
1.932;-20.81527593;55.91836735
1.933;-21.06896074;56
1.934;-21.32530185;56.08163265
